item_id,item_name_en,item_name_ar,type,positions,surah_number,surah_name,surah_name_ar,aya_from,aya_to
,,,,2,19,Maryam,مريم,2,11
,,,,3,21, Al-Anbiyaa,الأنبياء,89,90
19,Yunus,قصص أنبياء - يونس عليه السلام,prophet,1,10,Yunus,يونس,98,98
,,,,2,21, Al-Anbiyaa,الأنبياء,87,88
,,,,3,37,As-Saaffaat,الصافات,139,148
20,Ismael,قصص أنبياء - اسماعيل عليه السلام,prophet,1,2,Al-Baqara,البقرة,136,137
,,,,2,19,Maryam,مريم,54,55
,,,,3,37,As-Saaffaat,الصافات,101,108
21,Elias, قصص أنبياء - الياس عليه السلام,prophet,1,37,As-Saaffaat,الصافات,123,132
22,Yahia,قصص أنبياء - يحيى عليه السلام,prophet,1,3,Aal-i-Imraan,آل عمران,37,41
,,,,2,19,Maryam,مريم,12,15
23,Luqman,قصص أنبياء - لقمان عليه السلام,other,1,31,Luqman,لقمان,12,19
24,saba,قصص أخرى – سبأ,other,1,34,Saba,سبأ,15,25
25,Qarun,قصص أخرى – قارون,other ,1,28,Al-Qasas,القصص,76,82
26,Taloot,قصص أنبياء - طالوت,prophet,1,2,Al-Baqara,البقرة,246,252
27,Cain and Abel,قصص أخرى – هابيل و قابيل,other,1,5,Al-Maaida,المائدة,27,32
28,Ayoub,قصص أنبياء - ايوب عليه السلام,prophet,1,21, Al-Anbiyaa,الأنبياء,83,84
,,,,2,38,Saad,ص,41,44
29,Idris,قصص أنبياء - ادريس عليه السلام,prophet,1,19,Maryam,مريم,56,57
30,Isaac,قصص أنبياء - اسحاق عليه السلام,prophet,1,2,Al-Baqara,البقرة,136,137
31,Jacob,قصص أنبياء - يعقوب عليه السلام,prophet,1,2,Al-Baqara,البقرة,132,133
